,0
0,"7F.A01..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
1,"7F.A02..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
2,"7F.A03..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
3,"7F.A04..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
4,"7F.A05..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
5,"7F.A06..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
6,"7F.A07..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
7,"7F.A08..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
8,"7F.A09..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
9,"7F.A10..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
10,"7F.A11..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
11,"7F.A13..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
12,"7F.A14..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
13,"7F.A19..BHZ | 2020-01-15T15:21:37.039000Z - 2020-01-15T15:21:37.539000Z | 1000.0 Hz, 501 samples"
